Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Alban, M.W., Kelley, C.M.","Research report: Embodiment meets metamemory: Weight as a Cue for Metacognitive Judgments",2013,"Journal of Experimental Psychology: Learning Memory and Cognition","39","5",,"1628","1634",,12,10.1037/a0032420,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84883751663&doi=10.1037%2fa0032420&partnerID=40&md5=6521179b40eb26ebe14b720248fa8a93",Article,Scopus,2-s2.0-84883751663
"Toth, J.P., Daniels, K.A., Solinger, L.A.","What you know can hurt you: Effects of age and prior knowledge on the accuracy of judgments of learning",2011,"Psychology and Aging","26","4",,"919","931",,12,10.1037/a0023379,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-82955186262&doi=10.1037%2fa0023379&partnerID=40&md5=8264b434d0cef0942273a69dc477b559",Article,Scopus,2-s2.0-82955186262
"Townsend, C.L., Heit, E.","Judgments of learning and improvement",2011,"Memory and Cognition","39","2",,"204","216",,12,10.3758/s13421-010-0019-2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952192447&doi=10.3758%2fs13421-010-0019-2&partnerID=40&md5=e165c31dc254f1eee8730d605882675e",Article,Scopus,2-s2.0-79952192447
"Serra, M.J., Dunlosky, J., Hertzog, C.","Do older adults show less confidence in their monitoring of learning?",2008,"Experimental Aging Research","34","4",,"379","391",,12,10.1080/03610730802271898,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-50149114354&doi=10.1080%2f03610730802271898&partnerID=40&md5=4f3bbe70c35dc058f7539a6c2c1574d1",Article,Scopus,2-s2.0-50149114354
"Matvey, G., Dunlosky, J., Schwartz, B.L.","The effects of categorical relatedness on judgements of learning (JOLs)",2006,"Memory","14","2",,"253","261",,12,10.1080/09658210500216844,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33244456623&doi=10.1080%2f09658210500216844&partnerID=40&md5=38d49cebbd9c7a766a3c1bf806f06cb4",Article,Scopus,2-s2.0-33244456623
"Potts, R., Shanks, D.R.","The benefit of generating errors during learning",2014,"Journal of Experimental Psychology: General","143","2",,"644","667",,11,10.1037/a0033194,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897528886&doi=10.1037%2fa0033194&partnerID=40&md5=194dbfaeb5b9e3b11bf8aa69a034fe76",Article,Scopus,2-s2.0-84897528886
"Lipowski, S.L., Merriman, W.E., Dunlosky, J.","Preschoolers can make highly accurate judgments of learning",2013,"Developmental Psychology","49","8",,"1505","1516",,11,10.1037/a0030614,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881488379&doi=10.1037%2fa0030614&partnerID=40&md5=d47e9cf921913253fe0df8f7555c4023",Article,Scopus,2-s2.0-84881488379
"Tullis, J.G., Benjamin, A.S.","The Effectiveness of updating metacognitive knowledge in the elderly: Evidence from metamnemonic judgments of word frequency",2012,"Psychology and Aging","27","3",,"683","690",,11,10.1037/a0025838,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84873025746&doi=10.1037%2fa0025838&partnerID=40&md5=e68df0fc260c7e29b1cd786ee244f5aa",Article,Scopus,2-s2.0-84873025746
"Rhodes, M.G., Tauber, S.K.","Monitoring memory errors: The influence of the veracity of retrieved information on the accuracy of judgements of learning",2011,"Memory","19","8",,"853","870",,11,10.1080/09658211.2011.613841,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858760103&doi=10.1080%2f09658211.2011.613841&partnerID=40&md5=1c79ea7e412181de881c6f2c3037c7ac",Article,Scopus,2-s2.0-84858760103
"Friedman, M.C., Castel, A.D.","Are we aware of our ability to forget? Metacognitive predictions of directed forgetting",2011,"Memory and Cognition","39","8",,"1448","1456",,11,10.3758/s13421-011-0115-y,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80155148417&doi=10.3758%2fs13421-011-0115-y&partnerID=40&md5=0d12fff09c6196f92f41ae01f5d27182",Article,Scopus,2-s2.0-80155148417
"Hoffmann-Biencourt, A., Lockl, K., Schneider, W., Ackerman, R., Koriat, A.","Self-paced study time as a cue for recall predictions across school age",2010,"British Journal of Developmental Psychology","28","4",,"767","784",,11,10.1348/026151009X479042,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78049398994&doi=10.1348%2f026151009X479042&partnerID=40&md5=4ccbc4e4a63a810176ad0fd0847a4a9c",Article,Scopus,2-s2.0-78049398994
"Howard, C.E., Andrés, P., Broks, P., Noad, R., Sadler, M., Coker, D., Mazzoni, G.","Memory, metamemory and their dissociation in temporal lobe epilepsy",2010,"Neuropsychologia","48","4",,"921","932",,11,10.1016/j.neuropsychologia.2009.11.011,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-76749091004&doi=10.1016%2fj.neuropsychologia.2009.11.011&partnerID=40&md5=653b85620b524fa0c5c3f78d6b70d7c5",Article,Scopus,2-s2.0-76749091004
"Van Overschelde, J.P., Nelson, T.O.","Delayed judgments of learning cause both a decrease in absolute accuracy (calibration) and an increase in relative accuracy (resolution)",2006,"Memory and Cognition","34","7",,"1527","1538",,11,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33846204790&partnerID=40&md5=f85d01b16ff696f15abfaad685c4c683",Article,Scopus,2-s2.0-33846204790
"Serra, M.J., Ariel, R.","People use the memory for past-test heuristic as an explicit cue for judgments of learning",2014,"Memory and Cognition","42","8",,"1260","1272",,10,10.3758/s13421-014-0431-0,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939880151&doi=10.3758%2fs13421-014-0431-0&partnerID=40&md5=4b54f418ce898f6e082afaa6cca07f17",Article,Scopus,2-s2.0-84939880151
"Ackerman, R.A.","The diminishing criterion model for metacognitive regulation of time investment",2014,"Journal of Experimental Psychology: General","143","3",,"1349","1368",,10,10.1037/a0035098,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901359783&doi=10.1037%2fa0035098&partnerID=40&md5=2251874ae1a79e8972ebc09ff61458d4",Article,Scopus,2-s2.0-84901359783
"Hanczakowski, M., Zawadzka, K., Pasek, T., Higham, P.A.","Calibration of metacognitive judgments: Insights from the underconfidence-with-practice effect",2013,"Journal of Memory and Language","69","3",,"429","444",,10,10.1016/j.jml.2013.05.003,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881085766&doi=10.1016%2fj.jml.2013.05.003&partnerID=40&md5=3267586101c654d5e60be83ac8d7fe60",Article,Scopus,2-s2.0-84881085766
"Jang, Y., Wallsten, T.S., Huber, D.E.","A stochastic detection and retrieval model for the study of metacognition",2012,"Psychological Review","119","1",,"186","200",,10,10.1037/a0025960,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84859779054&doi=10.1037%2fa0025960&partnerID=40&md5=10a16825078ac4e9229619f05ef555b8",Article,Scopus,2-s2.0-84859779054
"Jönsson, F.U., Hedner, M., Olsson, M.J.","The testing effect as a function of explicit testing instructions and judgments of learning",2012,"Experimental Psychology","59","5",,"251","257",,10,10.1027/1618-3169/a000150,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865788688&doi=10.1027%2f1618-3169%2fa000150&partnerID=40&md5=9bd36a1af6440eedb2a11e101cf962a5",Article,Scopus,2-s2.0-84865788688
"Souchay, C., Isingrini, M.","Are feeling-of-knowing and judgment-of-learning different? Evidence from older adults",2012,"Acta Psychologica","139","3",,"458","464",,10,10.1016/j.actpsy.2012.01.007,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858020967&doi=10.1016%2fj.actpsy.2012.01.007&partnerID=40&md5=5acf4d80f55c2d846ccbc05566d26dca",Article,Scopus,2-s2.0-84858020967
"Allen, K.D., Hancock, T.E.","Reading comprehension improvement with individualized cognitive profiles and metacognition",2008,"Literacy Research and Instruction","47","2",,"124","139",,10,10.1080/19388070801938320,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-65249116497&doi=10.1080%2f19388070801938320&partnerID=40&md5=41758532c3977c74d9257135613ac179",Article,Scopus,2-s2.0-65249116497
"Chen, G., Fu, X.","Effects of multimodal information on learning performance and judgment of learning",2003,"Journal of Educational Computing Research","29","3",,"349","362",,10,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-1842664155&partnerID=40&md5=ea3e7185c2278881c8a7aec0e49a2081",Article,Scopus,2-s2.0-1842664155
"Kelemen, W.L., Creeley, C.E.","State-Dependent Memory Effects Using Caffeine and Placebo Do Not Extend to Metamemory",2003,"Journal of General Psychology","130","1",,"70","86",,10,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0037944212&partnerID=40&md5=6f5cc298c79b5a39179fad5fa2f56fc2",Article,Scopus,2-s2.0-0037944212
"Pelegrina, S., Bajo, M.T., Justicia, F.","Differential allocation of study time: Incomplete compensation for the difficulty of the materials",2000,"Memory","8","6",,"377","392",,10,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033766276&partnerID=40&md5=07df9bade63ac6262c8580096a20edf7",Article,Scopus,2-s2.0-0033766276
"Destan, N., Hembacher, E., Ghetti, S., Roebers, C.M.","Early metacognitive abilities: The interplay of monitoring and control processes in 5- to 7-year-old children",2014,"Journal of Experimental Child Psychology","126",,,"213","228",,9,10.1016/j.jecp.2014.04.001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902509313&doi=10.1016%2fj.jecp.2014.04.001&partnerID=40&md5=6c49f0675745a0d29199fc78087791af",Article,Scopus,2-s2.0-84902509313
"Rosen, H.J., Alcantar, O., Zakrzewski, J., Shimamura, A.P., Neuhaus, J., Miller, B.L.","Metacognition in the behavioral variant of frontotemporal dementia and alzheimer's disease",2014,"Neuropsychology","28","3",,"436","447",,9,10.1037/neu0000012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921946773&doi=10.1037%2fneu0000012&partnerID=40&md5=eafd9a1b1517af20356939915a0d723b",Article,Scopus,2-s2.0-84921946773
"Undorf, M., Erdfelder, E.","Separation of encoding fluency and item difficulty effects on judgements of learning",2013,"Quarterly Journal of Experimental Psychology","66","10",,"2060","2072",,9,10.1080/17470218.2013.777751,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889263638&doi=10.1080%2f17470218.2013.777751&partnerID=40&md5=49fd40c8b910c1355dbb5c5bc7a5efc4",Article,Scopus,2-s2.0-84889263638
"Serra, M.J., England, B.D.","Magnitude and accuracy differences between judgements of remembering and forgetting",2012,"Quarterly Journal of Experimental Psychology","65","11",,"2231","2257",,9,10.1080/17470218.2012.685081,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867854974&doi=10.1080%2f17470218.2012.685081&partnerID=40&md5=dcce3edc07c92a32d5e509fa9fd60385",Article,Scopus,2-s2.0-84867854974
"Kelly, K.J., Metcalfe, J.","Metacognition of Emotional Face Recognition",2011,"Emotion","11","4",,"896","906",,9,10.1037/a0023746,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80052299672&doi=10.1037%2fa0023746&partnerID=40&md5=a3f7ff0a0caca12101dbb7943780661b",Article,Scopus,2-s2.0-80052299672
"Zaromb, F.M., Karpicke, J.D., Roediger III, H.L.","Comprehension as a Basis for Metacognitive Judgments: Effects of Effort After Meaning on Recall and Metacognition",2010,"Journal of Experimental Psychology: Learning Memory and Cognition","36","2",,"552","557",,9,10.1037/a0018277,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77649227834&doi=10.1037%2fa0018277&partnerID=40&md5=a20dbfbd1bcd930ed4193c00367ffdf0",Article,Scopus,2-s2.0-77649227834
"Barnes, K.A., Dougherty, M.R.","The effect of divided attention on global judgment of learning accuracy",2007,"American Journal of Psychology","120","3",,"347","359",,9,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548642403&partnerID=40&md5=4bb12cfa2e17349a01142f6984c2a617",Article,Scopus,2-s2.0-34548642403
"Knouse, L.E., Paradise, M.J., Dunlosky, J.","Does ADHD in adults affect the relative accuracy of metamemory judgments?",2006,"Journal of Attention Disorders","10","2",,"160","170",,9,10.1177/1087054706288116,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33750370922&doi=10.1177%2f1087054706288116&partnerID=40&md5=c16f95d87f18ff07edaf2842749daeef",Article,Scopus,2-s2.0-33750370922
"Paulus, M., Tsalas, N., Proust, J., Sodian, B.","Metacognitive monitoring of oneself and others: Developmental changes during childhood and adolescence",2014,"Journal of Experimental Child Psychology","122","1",,"153","165",,8,10.1016/j.jecp.2013.12.011,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897668035&doi=10.1016%2fj.jecp.2013.12.011&partnerID=40&md5=e1c940633a548b7878259a35f0c909ac",Article,Scopus,2-s2.0-84897668035
"Hunter Ball, B., Klein, K.N., Brewer, G.A.","Processing fluency mediates the influence of perceptual information on monitoring learning of educationally relevant materials",2014,"Journal of Experimental Psychology: Applied","20","4",,"336","348",,8,10.1037/xap0000023,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925630764&doi=10.1037%2fxap0000023&partnerID=40&md5=fa75158182c656da2ced0a2ccb3598e8",Article,Scopus,2-s2.0-84925630764
"Nomi, J.S., Rhodes, M.G., Cleary, A.M.","Emotional facial expressions differentially influence predictions and performance for face recognition",2013,"Cognition and Emotion","27","1",,"141","149",,8,10.1080/02699931.2012.679917,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874291924&doi=10.1080%2f02699931.2012.679917&partnerID=40&md5=59e52b7648132564d7308b52a952fe26",Article,Scopus,2-s2.0-84874291924
"Tauber, S.K., Dunlosky, J.","Can older adults accurately judge their learning of emotional information?",2012,"Psychology and Aging","27","4",,"924","933",,8,10.1037/a0028447,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874452196&doi=10.1037%2fa0028447&partnerID=40&md5=d7957393c20a390ad8f358425ee7d8a6",Article,Scopus,2-s2.0-84874452196
"England, B.D., Serra, M.J.","The contributions of anchoring and past-test performance to the underconfidence-with-practice effect",2012,"Psychonomic Bulletin and Review","19","4",,"715","722",,8,10.3758/s13423-012-0237-7,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864104573&doi=10.3758%2fs13423-012-0237-7&partnerID=40&md5=4b32f999be45058e7f946f27c1c36e05",Article,Scopus,2-s2.0-84864104573
"Thuaire, F., Izaute, M., Bacon, E.","Evidence of some strategic preservation of episodic learning in patients with schizophrenia",2012,"Psychiatry Research","195","1-2",,"27","31",,8,10.1016/j.psychres.2011.07.036,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856410463&doi=10.1016%2fj.psychres.2011.07.036&partnerID=40&md5=b317d0875b981ab12f047bf445158adc",Article,Scopus,2-s2.0-84856410463
"Schwartz, B.L., Efklides, A.","Metamemory and memory efficiency: Implications for student learning",2012,"Journal of Applied Research in Memory and Cognition","1","3",,"145","151",,8,10.1016/j.jarmac.2012.06.002,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866762158&doi=10.1016%2fj.jarmac.2012.06.002&partnerID=40&md5=ae97bc654328a9c9fd6cf77bf5f392c0",Article,Scopus,2-s2.0-84866762158
"Kelly, A., Carroll, M., Mazzoni, G.","Metamemory and reality monitoring",2002,"Applied Cognitive Psychology","16","4",,"407","428",,8,10.1002/acp.803,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-8744230754&doi=10.1002%2facp.803&partnerID=40&md5=a14e3e2df9af210dfeea7f5fb56adeb0",Article,Scopus,2-s2.0-8744230754
"McGuire, M.J., Maki, R.H.","When Knowing More Means Less: The Effect of Fan on Metamemory Judgments",2001,"Journal of Experimental Psychology: Learning Memory and Cognition","27","5",,"1172","1179",,8,10.1037//0278-7393.27.5.1172,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035461683&doi=10.1037%2f%2f0278-7393.27.5.1172&partnerID=40&md5=db4bad182f6ea644bfecba0d4dfee2ff",Article,Scopus,2-s2.0-0035461683
"De Carvalho Filho, M.K., Yuzawa, M.","The effect of social influences and general metacognitive knowledge on metamemory judgments",2001,"Contemporary Educational Psychology","26","4",,"571","587",,8,10.1006/ceps.2000.1077,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035181029&doi=10.1006%2fceps.2000.1077&partnerID=40&md5=f1a308174a82d2d851f807760db7259d",Article,Scopus,2-s2.0-0035181029
"Carroll, M., Korukina, S.","The Effect of Text Coherence and Modality on Metamemory Judgements",1999,"Memory","7","3",,"309","322",,8,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033122153&partnerID=40&md5=a7a43de8adf98a92c029f7898dd40e3c",Article,Scopus,2-s2.0-0033122153
"Shaddock, A., Carroll, M.","Influences on metamemory judgements",1997,"Australian Journal of Psychology","49","1",,"21","27",,8,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031374109&partnerID=40&md5=1cb331ca6764c391a485216dc2d73e69",Article,Scopus,2-s2.0-0031374109
"Shanks, L.L., Serra, M.J.","Domain familiarity as a cue for judgments of learning",2014,"Psychonomic Bulletin and Review","21","2",,"445","453",,7,10.3758/s13423-013-0513-1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897455047&doi=10.3758%2fs13423-013-0513-1&partnerID=40&md5=0706128426347a404dd17e3ee080281b",Article,Scopus,2-s2.0-84897455047
"Pyc, M.A., Rawson, K.A.","Are judgments of learning made after correct responses during retrieval practice sensitive to lag and criterion level effects?",2012,"Memory and Cognition","40","6",,"976","988",,7,10.3758/s13421-012-0200-x,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870326042&doi=10.3758%2fs13421-012-0200-x&partnerID=40&md5=1fcdac75f6e062bfc48271aaeca854ec",Article,Scopus,2-s2.0-84870326042
"Tauber, S.K., Rhodes, M.G.","Measuring memory monitoring with judgements of retention (JORs)",2012,"Quarterly Journal of Experimental Psychology","65","7",,"1376","1396",,7,10.1080/17470218.2012.656665,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864697008&doi=10.1080%2f17470218.2012.656665&partnerID=40&md5=e15c02854bc3385ee86a6b1206d2bb70",Article,Scopus,2-s2.0-84864697008
"Hourihan, K.L., Benjamin, A.S., Liu, X.","A cross-race effect in metamemory: Predictions of face recognition are more accurate for members of our own race",2012,"Journal of Applied Research in Memory and Cognition","1","3",,"158","162",,7,10.1016/j.jarmac.2012.06.004,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908365023&doi=10.1016%2fj.jarmac.2012.06.004&partnerID=40&md5=0e59deedb2d08360bde7d1721f96c0e0",Article,Scopus,2-s2.0-84908365023
"Salas, C.R., Minakata, K., Kelemen, W.L.","Walking before study enhances free recall but not judgement-of-learning magnitude",2011,"Journal of Cognitive Psychology","23","4",,"507","513",,7,10.1080/20445911.2011.532207,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79959357271&doi=10.1080%2f20445911.2011.532207&partnerID=40&md5=1f3eb7f66b5e86899c37466071842545",Article,Scopus,2-s2.0-79959357271
"Crowther, J.E., Hanten, G., Li, X., Dennis, M., Chapman, S.B., Levin, H.S.","Impairments in learning, memory, and metamemory following childhood head injury",2011,"Journal of Head Trauma Rehabilitation","26","3",,"192","201",,7,10.1097/HTR.0b013e318218dd22,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955816248&doi=10.1097%2fHTR.0b013e318218dd22&partnerID=40&md5=f9aae0d3ef4a21bb3831b9b95e0d36ab",Article,Scopus,2-s2.0-79955816248
"Skavhaug, I.-M., Wilding, E.L., Donaldson, D.I.","Judgments of learning do not reduce to memory encoding operations: Event-related potential evidence for distinct metacognitive processes",2010,"Brain Research","1318",,,"87","95",,7,10.1016/j.brainres.2009.11.047,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-76449104819&doi=10.1016%2fj.brainres.2009.11.047&partnerID=40&md5=859f9371e41fa0f143de49f6765d81c9",Article,Scopus,2-s2.0-76449104819
"Krätzig, G.P., Arbuthnott, K.D.","Metacognitive learning: The effect of item-specific experience and age on metamemory calibration and planning",2009,"Metacognition and Learning","4","2",,"125","144",,7,10.1007/s11409-009-9039-3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-70350049254&doi=10.1007%2fs11409-009-9039-3&partnerID=40&md5=53d58da07acbf68d26b2f7b490f0e45d",Article,Scopus,2-s2.0-70350049254
"Carroll, M., Mazzoni, G., Andrews, S., Pocock, P.","Monitoring the Future: Object and Source Memory for Real and Imagined Events",1999,"Applied Cognitive Psychology","13","4",,"373","390",,7,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0010530121&partnerID=40&md5=c9ce317130bef1131e5914d9e3218a07",Article,Scopus,2-s2.0-0010530121
"Soderstrom, N.C., Clark, C.T., Halamish, V., Bjork, E.L.","Judgments of learning as memory modifiers",2015,"Journal of Experimental Psychology: Learning Memory and Cognition","41","2",,"553","558",,6,10.1037/a0038388,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925757634&doi=10.1037%2fa0038388&partnerID=40&md5=43278d78428c977f692bcc591979d315",Article,Scopus,2-s2.0-84925757634
"Kvavilashvili, L., Ford, R.M.","Metamemory prediction accuracy for simple prospective and retrospective memory tasks in 5-year-old children",2014,"Journal of Experimental Child Psychology","127",,,"65","81",,6,10.1016/j.jecp.2014.01.014,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905754616&doi=10.1016%2fj.jecp.2014.01.014&partnerID=40&md5=871d4fff251836667c72c2faaa60d26e",Article,Scopus,2-s2.0-84905754616
"Baars, M., van Gog, T., de Bruin, A., Paas, F.","Effects of problem solving after worked example study on primary school children's monitoring accuracy",2014,"Applied Cognitive Psychology","28","3",,"382","391",,6,10.1002/acp.3008,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897965065&doi=10.1002%2facp.3008&partnerID=40&md5=3bc22981a29a4d511562cb6cd11f781d",Article,Scopus,2-s2.0-84897965065
"Wojcik, D.Z., Waterman, A.H., Lestié, C., Moulin, C.J.A., Souchay, C.","Metacognitive judgments-of-learning in adolescents with autism spectrum disorder",2014,"Autism","18","4",,"393","408",,6,10.1177/1362361313479453,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84891644454&doi=10.1177%2f1362361313479453&partnerID=40&md5=b2050fdc14d2cc23459b578b8935db89",Article,Scopus,2-s2.0-84891644454
"Baars, M., Visser, S., Gog, T.V., Bruin, A.D., Paas, F.","Completion of partially worked-out examples as a generation strategy for improving monitoring accuracy",2013,"Contemporary Educational Psychology","38","4",,"395","406",,6,10.1016/j.cedpsych.2013.09.001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884917429&doi=10.1016%2fj.cedpsych.2013.09.001&partnerID=40&md5=9355fc290e56ff00c156aac7d99404cd",Article,Scopus,2-s2.0-84884917429
"Konopka, A.E., Benjamin, A.S.","Schematic knowledge changes what judgments of learning predict in a source memory task",2009,"Memory and Cognition","37","1",,"42","51",,6,10.3758/MC.37.1.42,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-62649104355&doi=10.3758%2fMC.37.1.42&partnerID=40&md5=5860f217a3a3156bd46086e9978c1b6c",Article,Scopus,2-s2.0-62649104355
"Cao, L., Nietfeld, J.L.","Judgement of learning, monitoring accuracy, and student performance in the classroom context",2005,"Current Issues in Education","8",,,"","",,6,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-14744296741&partnerID=40&md5=e18dd621e108f7c670f0fefa33970a70",Review,Scopus,2-s2.0-14744296741
"Rosie, J., Murray, R.","An evaluation of learning on clinical placements in radiography",1998,"Medical Teacher","20","3",,"227","236",,6,10.1080/01421599880977,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0031802411&doi=10.1080%2f01421599880977&partnerID=40&md5=c3200343b8699b1a8521efa216dd9bd1",Article,Scopus,2-s2.0-0031802411
"Geurten, M., Willems, S., Meulemans, T.","Beyond the experience: Detection of metamemorial regularities",2015,"Consciousness and Cognition","33",,,"16","23",,5,10.1016/j.concog.2014.11.009,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84917709092&doi=10.1016%2fj.concog.2014.11.009&partnerID=40&md5=5093fdd8e1b76389010a8cd2fb26bdc8",Article,Scopus,2-s2.0-84917709092
"Susser, J.A., Mulligan, N.W.","The effect of motoric fluency on metamemory",2014,"Psychonomic Bulletin and Review","22","4",,"1014","1019",,5,10.3758/s13423-014-0768-1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938964295&doi=10.3758%2fs13423-014-0768-1&partnerID=40&md5=6cba8142efb64d550be22d510bbb0476",Article,Scopus,2-s2.0-84938964295
"Ravenscroft, S.P., Waymire, T.R., West, T.D.","Accounting students' metacognition: The association of performance, calibration error, and mindset",2012,"Issues in Accounting Education","27","3",,"707","732",,5,10.2308/iace-50148,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84865357663&doi=10.2308%2fiace-50148&partnerID=40&md5=590b327edda18bdea98fd17dcd5f1ed4",Article,Scopus,2-s2.0-84865357663
"Burkett, C., Azevedo, R.","The effect of multimedia discrepancies on metacognitive judgments",2012,"Computers in Human Behavior","28","4",,"1276","1285",,5,10.1016/j.chb.2012.02.011,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84860298063&doi=10.1016%2fj.chb.2012.02.011&partnerID=40&md5=9d8b0c3a75821564ccd570a1fc808e79",Article,Scopus,2-s2.0-84860298063
"Palmore, C.C., Garcia, A.D., Bacon, L.P., Johnson, C.A., Kelemen, W.L.","Congruity influences memory and judgments of learning during survival processing",2012,"Psychonomic Bulletin and Review","19","1",,"119","125",,5,10.3758/s13423-011-0186-6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84863406240&doi=10.3758%2fs13423-011-0186-6&partnerID=40&md5=3f2603254e227efbed2d3eb8eea52103",Article,Scopus,2-s2.0-84863406240
"Wahlheim, C.N.","Predicting memory performance under conditions of proactive interference: Immediate and delayed judgments of learning",2011,"Memory and Cognition","39","5",,"827","838",,5,10.3758/s13421-010-0065-9,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-80055029656&doi=10.3758%2fs13421-010-0065-9&partnerID=40&md5=7ab52480d52b7d165a2b817bbfed9cb1",Article,Scopus,2-s2.0-80055029656
"von der Linden, N., Schneider, W., Roebers, C.M.","The effects of summary production and encoding condition on children's metacognitive monitoring",2011,"Metacognition and Learning","6","1",,"3","23",,5,10.1007/s11409-010-9063-3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79955063678&doi=10.1007%2fs11409-010-9063-3&partnerID=40&md5=2f77390c5fd2f280636f741c1e785e3a",Article,Scopus,2-s2.0-79955063678
"Diaz, M., Benjamin, A.S.","The effects of proactive interference (PI) and release from PI on judgments of learning",2011,"Memory and Cognition","39","2",,"196","203",,5,10.3758/s13421-010-0010-y,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-79952183781&doi=10.3758%2fs13421-010-0010-y&partnerID=40&md5=9a494a4b9da1eb9e66cde666c21e277f",Article,Scopus,2-s2.0-79952183781
"Jönsson, F.U., Lindström, B.R.","Using a multidimensional scaling approach to investigate the underlying basis of ease of learning judgments",2010,"Scandinavian Journal of Psychology","51","2",,"103","108",,5,10.1111/j.1467-9450.2009.00762.x,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77951658520&doi=10.1111%2fj.1467-9450.2009.00762.x&partnerID=40&md5=654293c0ccb2e427938a3e7fa760b4ec",Article,Scopus,2-s2.0-77951658520
"Richards, R.M., Nelson, T.O.","Effect of the difficulty of prior items on the magnitude of judgments of learning for subsequent items",2004,"American Journal of Psychology","117","1",,"81","91",,5,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-2342510984&partnerID=40&md5=b6c0ccab2c0dc464311416b02072a5ad",Article,Scopus,2-s2.0-2342510984
